"year","ID","Scenario","variable","value"
43,"1538394454276","Baseline","COPD2",7395
44,"1538394454276","Baseline","COPD2",7270
45,"1538394454276","Baseline","COPD2",7250
46,"1538394454276","Baseline","COPD2",7218
47,"1538394454276","Baseline","COPD2",7070
48,"1538394454276","Baseline","COPD2",6919
49,"1538394454276","Baseline","COPD2",6818
0,"1538394459449","Baseline","COPD2",0
1,"1538394459449","Baseline","COPD2",11475
2,"1538394459449","Baseline","COPD2",11565
3,"1538394459449","Baseline","COPD2",11665
4,"1538394459449","Baseline","COPD2",11681
5,"1538394459449","Baseline","COPD2",11710
6,"1538394459449","Baseline","COPD2",11732
7,"1538394459449","Baseline","COPD2",11764
8,"1538394459449","Baseline","COPD2",11864
9,"1538394459449","Baseline","COPD2",11912
10,"1538394459449","Baseline","COPD2",11961
11,"1538394459449","Baseline","COPD2",11983
12,"1538394459449","Baseline","COPD2",12003
13,"1538394459449","Baseline","COPD2",12014
14,"1538394459449","Baseline","COPD2",11988
15,"1538394459449","Baseline","COPD2",11963
16,"1538394459449","Baseline","COPD2",11882
17,"1538394459449","Baseline","COPD2",11867
18,"1538394459449","Baseline","COPD2",11820
19,"1538394459449","Baseline","COPD2",11749
20,"1538394459449","Baseline","COPD2",11687
21,"1538394459449","Baseline","COPD2",11608
22,"1538394459449","Baseline","COPD2",11496
23,"1538394459449","Baseline","COPD2",11362
24,"1538394459449","Baseline","COPD2",11143
25,"1538394459449","Baseline","COPD2",10853
26,"1538394459449","Baseline","COPD2",10679
27,"1538394459449","Baseline","COPD2",10482
28,"1538394459449","Baseline","COPD2",10324
29,"1538394459449","Baseline","COPD2",10053
30,"1538394459449","Baseline","COPD2",9887
31,"1538394459449","Baseline","COPD2",9706
32,"1538394459449","Baseline","COPD2",9541
33,"1538394459449","Baseline","COPD2",9320
34,"1538394459449","Baseline","COPD2",9051
35,"1538394459449","Baseline","COPD2",8836
36,"1538394459449","Baseline","COPD2",8582
37,"1538394459449","Baseline","COPD2",8452
38,"1538394459449","Baseline","COPD2",8236
39,"1538394459449","Baseline","COPD2",8033
40,"1538394459449","Baseline","COPD2",7824
41,"1538394459449","Baseline","COPD2",7709
42,"1538394459449","Baseline","COPD2",7566
43,"1538394459449","Baseline","COPD2",7449
44,"1538394459449","Baseline","COPD2",7327
45,"1538394459449","Baseline","COPD2",7296
46,"1538394459449","Baseline","COPD2",7197
47,"1538394459449","Baseline","COPD2",7129
48,"1538394459449","Baseline","COPD2",6992
49,"1538394459449","Baseline","COPD2",6924
0,"1538394459762","Baseline","COPD2",0
1,"1538394459762","Baseline","COPD2",11427
2,"1538394459762","Baseline","COPD2",11460
3,"1538394459762","Baseline","COPD2",11514
4,"1538394459762","Baseline","COPD2",11523
5,"1538394459762","Baseline","COPD2",11600
6,"1538394459762","Baseline","COPD2",11579
7,"1538394459762","Baseline","COPD2",11704
8,"1538394459762","Baseline","COPD2",11852
9,"1538394459762","Baseline","COPD2",11957
10,"1538394459762","Baseline","COPD2",11998
11,"1538394459762","Baseline","COPD2",12005
12,"1538394459762","Baseline","COPD2",12013
13,"1538394459762","Baseline","COPD2",12007
14,"1538394459762","Baseline","COPD2",12041
15,"1538394459762","Baseline","COPD2",12056
